Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee,date,win,form_last_5,Control Time Sec,Total_fight_length_sec,landed_sig_str,atmp_sig_str,landed_total_str,atmp_total_str,landed_td,atmp_td,landed_head,atmp_head,landed_body,atmp_body,landed_leg,atmp_leg,landed_distance,atmp_distance,landed_clinch,atmp_clinch,landed_ground,atmp_ground,sig_str_lpm,total_str_lpm,head_lpm,body_lpm,leg_lpm,distance_lpm,clinch_lpm,ground_lpm,sig_str_acc,total_str_acc,td_acc,head_acc,body_acc,leg_acc,distance_acc,clinch_acc,ground_acc,KD_rolling_mean,Sub. Att_rolling_mean,Reversal_rolling_mean,Control Time Sec_rolling_mean,Total_fight_length_sec_rolling_mean,landed_sig_str_rolling_mean,atmp_sig_str_rolling_mean,landed_total_str_rolling_mean,atmp_total_str_rolling_mean,landed_td_rolling_mean,atmp_td_rolling_mean,landed_head_rolling_mean,atmp_head_rolling_mean,landed_body_rolling_mean,atmp_body_rolling_mean,landed_leg_rolling_mean,atmp_leg_rolling_mean,landed_distance_rolling_mean,atmp_distance_rolling_mean,landed_clinch_rolling_mean,atmp_clinch_rolling_mean,landed_ground_rolling_mean,atmp_ground_rolling_mean,sig_str_lpm_rolling_mean,total_str_lpm_rolling_mean,head_lpm_rolling_mean,body_lpm_rolling_mean,leg_lpm_rolling_mean,distance_lpm_rolling_mean,clinch_lpm_rolling_mean,ground_lpm_rolling_mean
UFC Fight Night: Dolidze vs. Hernandez,Miles Johns - Jean Matsumoto,Miles Johns,Bantamweight,L,0,83 of 184,89 of 191,5 of 8,0,0,3:12,70 of 170,12 of 13,1 of 1,78 of 175,5 of 8,0 of 1,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean,0,0,0.0,192,300,83,184,89,191,5,8,70,170,12,13,1,1,78,175,5,8,0,1,16.6,17.8,14.0,2.4,0.2,15.6,1.0,0.0,0.45108695652173914,0.46596858638743455,0.625,0.4117647058823529,0.9230769230769231,1.0,0.44571428571428573,0.625,0.0,0.0,0.0,0.0,192.0,300.0,83.0,184.0,89.0,191.0,5.0,8.0,70.0,170.0,12.0,13.0,1.0,1.0,78.0,175.0,5.0,8.0,0.0,1.0,16.6,17.8,14.0,2.4,0.2,15.6,1.0,0.0
UFC Fight Night: Dolidze vs. Hernandez,Miles Johns - Jean Matsumoto,Jean Matsumoto,Bantamweight,W,0,95 of 233,109 of 249,0 of 3,2,1,0:56,49 of 160,27 of 38,19 of 35,87 of 224,8 of 9,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean,0,1,1.0,56,300,95,233,109,249,0,3,49,160,27,38,19,35,87,224,8,9,0,0,19.0,21.8,9.8,5.4,3.8,17.4,1.6,0.0,0.40772532188841204,0.43775100401606426,0.0,0.30625,0.7105263157894737,0.5428571428571428,0.38839285714285715,0.8888888888888888,0.0,0.0,2.0,1.0,56.0,300.0,95.0,233.0,109.0,249.0,0.0,3.0,49.0,160.0,27.0,38.0,19.0,35.0,87.0,224.0,8.0,9.0,0.0,0.0,19.0,21.8,9.8,5.4,3.8,17.4,1.6,0.0
UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze - Anthony Hernandez,Roman Dolidze,Middleweight,L,0,36 of 107,39 of 110,0 of 1,0,0,0:45,25 of 88,4 of 11,7 of 8,34 of 101,2 of 6,0 of 0,Submission,"Time:
        
        2:45","Round:
        
        4","Time format:
        
        5 Rnd (5-5-5-5-5)",Herb Dean,0,0,0.0,45,165,36,107,39,110,0,1,25,88,4,11,7,8,34,101,2,6,0,0,13.090909090909092,14.181818181818182,9.090909090909092,1.4545454545454546,2.5454545454545454,12.363636363636363,0.7272727272727273,0.0,0.3364485981308411,0.35454545454545455,0.0,0.2840909090909091,0.36363636363636365,0.875,0.33663366336633666,0.3333333333333333,0.0,0.0,0.0,0.0,45.0,165.0,36.0,107.0,39.0,110.0,0.0,1.0,25.0,88.0,4.0,11.0,7.0,8.0,34.0,101.0,2.0,6.0,0.0,0.0,13.090909090909092,14.181818181818182,9.090909090909092,1.4545454545454546,2.5454545454545454,12.363636363636363,0.7272727272727273,0.0
UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze - Anthony Hernandez,Anthony Hernandez,Middleweight,W,0,91 of 152,120 of 187,9 of 11,1,0,7:48,67 of 128,6 of 6,18 of 18,48 of 102,13 of 18,30 of 32,Submission,"Time:
        
        2:45","Round:
        
        4","Time format:
        
        5 Rnd (5-5-5-5-5)",Herb Dean,0,1,1.0,468,165,91,152,120,187,9,11,67,128,6,6,18,18,48,102,13,18,30,32,33.09090909090909,43.63636363636363,24.363636363636363,2.1818181818181817,6.545454545454546,17.454545454545453,4.7272727272727275,10.909090909090908,0.5986842105263158,0.6417112299465241,0.8181818181818182,0.5234375,1.0,1.0,0.47058823529411764,0.7222222222222222,0.9375,0.0,1.0,0.0,468.0,165.0,91.0,152.0,120.0,187.0,9.0,11.0,67.0,128.0,6.0,6.0,18.0,18.0,48.0,102.0,13.0,18.0,30.0,32.0,33.09090909090909,43.63636363636363,24.363636363636363,2.1818181818181817,6.545454545454546,17.454545454545453,4.7272727272727275,10.909090909090908
UFC Fight Night: Dolidze vs. Hernandez,Cody Brundage - Eric McConico,Cody Brundage,Heavyweight,L,0,31 of 65,43 of 78,3 of 7,0,0,5:28,26 of 57,3 of 5,2 of 3,19 of 45,12 of 20,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,0,0,0.0,328,300,31,65,43,78,3,7,26,57,3,5,2,3,19,45,12,20,0,0,6.2,8.6,5.2,0.6,0.4,3.8,2.4,0.0,0.47692307692307695,0.5512820512820513,0.42857142857142855,0.45614035087719296,0.6,0.6666666666666666,0.4222222222222222,0.6,0.0,0.0,0.0,0.0,328.0,300.0,31.0,65.0,43.0,78.0,3.0,7.0,26.0,57.0,3.0,5.0,2.0,3.0,19.0,45.0,12.0,20.0,0.0,0.0,6.2,8.6,5.2,0.6,0.4,3.8,2.4,0.0
UFC Fight Night: Dolidze vs. Hernandez,Cody Brundage - Eric McConico,Eric McConico,Heavyweight,W,0,26 of 72,54 of 102,0 of 0,0,0,3:12,18 of 58,7 of 13,1 of 1,16 of 53,10 of 19,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,0,1,1.0,192,300,26,72,54,102,0,0,18,58,7,13,1,1,16,53,10,19,0,0,5.2,10.8,3.6,1.4,0.2,3.2,2.0,0.0,0.3611111111111111,0.5294117647058824,0.0,0.3103448275862069,0.5384615384615384,1.0,0.3018867924528302,0.5263157894736842,0.0,0.0,0.0,0.0,192.0,300.0,26.0,72.0,54.0,102.0,0.0,0.0,18.0,58.0,7.0,13.0,1.0,1.0,16.0,53.0,10.0,19.0,0.0,0.0,5.2,10.8,3.6,1.4,0.2,3.2,2.0,0.0
UFC Fight Night: Dolidze vs. Hernandez,Uros Medic - Gilbert Urbina,Uros Medic,Welterweight,W,1,5 of 9,6 of 10,0 of 0,0,0,0:01,4 of 8,1 of 1,0 of 0,3 of 7,1 of 1,1 of 1,KO/TKO,"Time:
        
        1:03","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,0,1,1.0,1,63,5,9,6,10,0,0,4,8,1,1,0,0,3,7,1,1,1,1,4.761904761904762,5.714285714285714,3.8095238095238093,0.9523809523809523,0.0,2.857142857142857,0.9523809523809523,0.9523809523809523,0.5555555555555556,0.6,0.0,0.5,1.0,0.0,0.42857142857142855,1.0,1.0,1.0,0.0,0.0,1.0,63.0,5.0,9.0,6.0,10.0,0.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,3.0,7.0,1.0,1.0,1.0,1.0,4.761904761904762,5.714285714285714,3.8095238095238093,0.9523809523809523,0.0,2.857142857142857,0.9523809523809523,0.9523809523809523
UFC Fight Night: Dolidze vs. Hernandez,Uros Medic - Gilbert Urbina,Gilbert Urbina,Welterweight,L,1,5 of 10,5 of 10,0 of 0,0,0,0:02,3 of 7,1 of 2,1 of 1,5 of 10,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:03","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,0,0,0.0,2,63,5,10,5,10,0,0,3,7,1,2,1,1,5,10,0,0,0,0,4.761904761904762,4.761904761904762,2.857142857142857,0.9523809523809523,0.9523809523809523,4.761904761904762,0.0,0.0,0.5,0.5,0.0,0.42857142857142855,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.0,2.0,63.0,5.0,10.0,5.0,10.0,0.0,0.0,3.0,7.0,1.0,2.0,1.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,4.761904761904762,4.761904761904762,2.857142857142857,0.9523809523809523,0.9523809523809523,4.761904761904762,0.0,0.0
UFC Fight Night: Dolidze vs. Hernandez,Gabriella Fernandes - Julija Stoliarenko,Gabriella Fernandes,Women's Flyweight,W,0,59 of 114,59 of 114,0 of 0,0,0,0:00,38 of 91,15 of 17,6 of 6,58 of 112,1 of 2,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran,0,1,1.0,0,300,59,114,59,114,0,0,38,91,15,17,6,6,58,112,1,2,0,0,11.8,11.8,7.6,3.0,1.2,11.6,0.2,0.0,0.5175438596491229,0.5175438596491229,0.0,0.4175824175824176,0.8823529411764706,1.0,0.5178571428571429,0.5,0.0,0.0,0.0,0.0,0.0,300.0,59.0,114.0,59.0,114.0,0.0,0.0,38.0,91.0,15.0,17.0,6.0,6.0,58.0,112.0,1.0,2.0,0.0,0.0,11.8,11.8,7.6,3.0,1.2,11.6,0.2,0.0
UFC Fight Night: Dolidze vs. Hernandez,Gabriella Fernandes - Julija Stoliarenko,Julija Stoliarenko,Women's Flyweight,L,0,61 of 161,64 of 167,0 of 6,0,0,1:14,28 of 117,13 of 20,20 of 24,56 of 154,5 of 7,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran,0,0,0.0,74,300,61,161,64,167,0,6,28,117,13,20,20,24,56,154,5,7,0,0,12.2,12.8,5.6,2.6,4.0,11.2,1.0,0.0,0.37888198757763975,0.38323353293413176,0.0,0.23931623931623933,0.65,0.8333333333333334,0.36363636363636365,0.7142857142857143,0.0,0.0,0.0,0.0,74.0,300.0,61.0,161.0,64.0,167.0,0.0,6.0,28.0,117.0,13.0,20.0,20.0,24.0,56.0,154.0,5.0,7.0,0.0,0.0,12.2,12.8,5.6,2.6,4.0,11.2,1.0,0.0
UFC Fight Night: Dolidze vs. Hernandez,Andre Fili - Christian Rodriguez,Andre Fili,Featherweight,W,0,64 of 182,74 of 193,3 of 5,0,0,1:42,52 of 164,6 of 10,6 of 8,62 of 179,2 of 3,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran,0,1,1.0,102,300,64,182,74,193,3,5,52,164,6,10,6,8,62,179,2,3,0,0,12.8,14.8,10.4,1.2,1.2,12.4,0.4,0.0,0.3516483516483517,0.38341968911917096,0.6,0.3170731707317073,0.6,0.75,0.3463687150837989,0.6666666666666666,0.0,0.0,0.0,0.0,102.0,300.0,64.0,182.0,74.0,193.0,3.0,5.0,52.0,164.0,6.0,10.0,6.0,8.0,62.0,179.0,2.0,3.0,0.0,0.0,12.8,14.8,10.4,1.2,1.2,12.4,0.4,0.0
UFC Fight Night: Dolidze vs. Hernandez,Andre Fili - Christian Rodriguez,Christian Rodriguez,Featherweight,L,0,83 of 174,95 of 190,1 of 7,0,0,1:35,49 of 130,8 of 13,26 of 31,69 of 157,13 of 16,1 of 1,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran,0,0,0.0,95,300,83,174,95,190,1,7,49,130,8,13,26,31,69,157,13,16,1,1,16.6,19.0,9.8,1.6,5.2,13.8,2.6,0.2,0.47701149425287354,0.5,0.14285714285714285,0.3769230769230769,0.6153846153846154,0.8387096774193549,0.4394904458598726,0.8125,1.0,0.0,0.0,0.0,95.0,300.0,83.0,174.0,95.0,190.0,1.0,7.0,49.0,130.0,8.0,13.0,26.0,31.0,69.0,157.0,13.0,16.0,1.0,1.0,16.6,19.0,9.8,1.6,5.2,13.8,2.6,0.2
UFC Fight Night: Dolidze vs. Hernandez,Iasmin Lucindo - Angela Hill,Iasmin Lucindo,Women's Strawweight,W,0,72 of 151,100 of 187,3 of 7,0,0,5:37,56 of 128,12 of 19,4 of 4,57 of 130,11 of 17,4 of 4,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,0,1,1.0,337,300,72,151,100,187,3,7,56,128,12,19,4,4,57,130,11,17,4,4,14.4,20.0,11.2,2.4,0.8,11.4,2.2,0.8,0.4768211920529801,0.5347593582887701,0.42857142857142855,0.4375,0.631578947368421,1.0,0.43846153846153846,0.6470588235294118,1.0,0.0,0.0,0.0,337.0,300.0,72.0,151.0,100.0,187.0,3.0,7.0,56.0,128.0,12.0,19.0,4.0,4.0,57.0,130.0,11.0,17.0,4.0,4.0,14.4,20.0,11.2,2.4,0.8,11.4,2.2,0.8
UFC Fight Night: Dolidze vs. Hernandez,Iasmin Lucindo - Angela Hill,Angela Hill,Women's Strawweight,L,0,64 of 110,80 of 129,0 of 5,1,0,1:19,42 of 84,19 of 23,3 of 3,52 of 92,12 of 18,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,0,0,0.0,79,300,64,110,80,129,0,5,42,84,19,23,3,3,52,92,12,18,0,0,12.8,16.0,8.4,3.8,0.6,10.4,2.4,0.0,0.5818181818181818,0.6201550387596899,0.0,0.5,0.8260869565217391,1.0,0.5652173913043478,0.6666666666666666,0.0,0.0,1.0,0.0,79.0,300.0,64.0,110.0,80.0,129.0,0.0,5.0,42.0,84.0,19.0,23.0,3.0,3.0,52.0,92.0,12.0,18.0,0.0,0.0,12.8,16.0,8.4,3.8,0.6,10.4,2.4,0.0
UFC Fight Night: Taira vs. Park,Neil Magny - Elizeu Zaleski dos Santos,Neil Magny,Welterweight,W,0,42 of 67,80 of 113,2 of 3,0,0,1:19,38 of 61,4 of 4,0 of 2,19 of 43,3 of 3,20 of 21,KO/TKO,"Time:
        
        4:39","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,0,1,1.0,79,279,42,67,80,113,2,3,38,61,4,4,0,2,19,43,3,3,20,21,9.032258064516128,17.204301075268816,8.172043010752688,0.8602150537634408,0.0,4.086021505376344,0.6451612903225806,4.301075268817204,0.6268656716417911,0.7079646017699115,0.6666666666666666,0.6229508196721312,1.0,0.0,0.4418604651162791,1.0,0.9523809523809523,0.0,0.0,0.0,79.0,279.0,42.0,67.0,80.0,113.0,2.0,3.0,38.0,61.0,4.0,4.0,0.0,2.0,19.0,43.0,3.0,3.0,20.0,21.0,9.032258064516128,17.204301075268816,8.172043010752688,0.8602150537634408,0.0,4.086021505376344,0.6451612903225806,4.301075268817204
UFC Fight Night: Taira vs. Park,Neil Magny - Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,Welterweight,L,0,20 of 42,42 of 69,1 of 5,0,0,4:40,5 of 24,4 of 5,11 of 13,17 of 38,3 of 4,0 of 0,KO/TKO,"Time:
        
        4:39","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,0,0,0.0,280,279,20,42,42,69,1,5,5,24,4,5,11,13,17,38,3,4,0,0,4.301075268817204,9.032258064516128,1.075268817204301,0.8602150537634408,2.365591397849462,3.6559139784946235,0.6451612903225806,0.0,0.47619047619047616,0.6086956521739131,0.2,0.20833333333333334,0.8,0.8461538461538461,0.4473684210526316,0.75,0.0,0.0,0.0,0.0,280.0,279.0,20.0,42.0,42.0,69.0,1.0,5.0,5.0,24.0,4.0,5.0,11.0,13.0,17.0,38.0,3.0,4.0,0.0,0.0,4.301075268817204,9.032258064516128,1.075268817204301,0.8602150537634408,2.365591397849462,3.6559139784946235,0.6451612903225806,0.0
