Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee
UFC Fight Night: Dos Anjos vs. Fiziev,Cody Brundage - Tresean Gore,Tresean Gore,Middleweight Bout,L,0,8 of 25,8 of 27,0 of 0,0,0,0:00,2 of 15,0 of 1,6 of 9,8 of 25,0 of 0,0 of 0,KO/TKO,"Time:
        
        3:50","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Dos Anjos vs. Fiziev,Kennedy Nzechukwu - Karl Roberson,Kennedy Nzechukwu,Light Heavyweight Bout,W,0,20 of 43,64 of 114,5 of 7,1,0,10:46,18 of 37,2 of 6,0 of 0,3 of 22,0 of 0,17 of 21,KO/TKO,"Time:
        
        2:19","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Dos Anjos vs. Fiziev,Kennedy Nzechukwu - Karl Roberson,Karl Roberson,Light Heavyweight Bout,L,0,9 of 19,16 of 26,0 of 3,0,0,0:23,4 of 13,4 of 5,1 of 1,9 of 19,0 of 0,0 of 0,KO/TKO,"Time:
        
        2:19","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Dos Anjos vs. Fiziev,David Onama - Garrett Armfield,David Onama,Featherweight Bout,W,0,29 of 72,46 of 95,2 of 6,1,0,2:35,16 of 55,13 of 17,0 of 0,27 of 66,1 of 3,1 of 3,Submission,"Time:
        
        3:13","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Dos Anjos vs. Fiziev,David Onama - Garrett Armfield,Garrett Armfield,Featherweight Bout,L,0,21 of 72,29 of 83,0 of 2,0,0,1:52,15 of 61,4 of 9,2 of 2,20 of 68,1 of 4,0 of 0,Submission,"Time:
        
        3:13","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Dos Anjos vs. Fiziev,Rafael Dos Anjos - Rafael Fiziev,Rafael Dos Anjos,Lightweight Bout,L,0,54 of 110,90 of 162,2 of 16,0,0,6:13,31 of 80,12 of 14,11 of 16,50 of 106,4 of 4,0 of 0,KO/TKO,"Time:
        
        0:18","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Mark Smith
UFC Fight Night: Dos Anjos vs. Fiziev,Rafael Dos Anjos - Rafael Fiziev,Rafael Fiziev,Lightweight Bout,W,1,64 of 159,92 of 192,0 of 1,0,0,2:59,32 of 102,27 of 52,5 of 5,62 of 155,1 of 2,1 of 2,KO/TKO,"Time:
        
        0:18","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Mark Smith
UFC Fight Night: Dos Anjos vs. Fiziev,Douglas Silva de Andrade - Said Nurmagomedov,Douglas Silva de Andrade,Bantamweight Bout,L,0,28 of 74,44 of 95,1 of 1,0,0,4:12,4 of 34,11 of 19,13 of 21,24 of 66,2 of 3,2 of 5,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Dos Anjos vs. Fiziev,Douglas Silva de Andrade - Said Nurmagomedov,Said Nurmagomedov,Bantamweight Bout,W,0,42 of 97,77 of 150,1 of 5,0,0,0:22,21 of 69,12 of 18,9 of 10,39 of 89,3 of 8,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Dos Anjos vs. Fiziev,Jared Vanderaa - Chase Sherman,Jared Vanderaa,Heavyweight Bout,L,0,109 of 266,109 of 267,0 of 0,0,0,0:00,76 of 224,18 of 25,15 of 17,108 of 265,1 of 1,0 of 0,KO/TKO,"Time:
        
        3:10","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Dos Anjos vs. Fiziev,Jared Vanderaa - Chase Sherman,Chase Sherman,Heavyweight Bout,W,1,137 of 235,137 of 235,0 of 0,0,0,0:01,86 of 175,32 of 39,19 of 21,134 of 231,3 of 3,0 of 1,KO/TKO,"Time:
        
        3:10","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 276: Adesanya vs. Cannonier,Jessica-Rose Clark - Julija Stoliarenko,Jessica-Rose Clark,Women's Bantamweight Bout,L,0,9 of 16,9 of 16,0 of 0,0,0,0:00,6 of 13,1 of 1,2 of 2,7 of 13,2 of 2,0 of 1,Submission,"Time:
        
        0:42","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC 276: Adesanya vs. Cannonier,Jessica-Rose Clark - Julija Stoliarenko,Julija Stoliarenko,Women's Bantamweight Bout,W,0,6 of 9,6 of 9,1 of 1,1,0,0:17,6 of 9,0 of 0,0 of 0,6 of 9,0 of 0,0 of 0,Submission,"Time:
        
        0:42","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC 276: Adesanya vs. Cannonier,Robbie Lawler - Bryan Barberena,Robbie Lawler,Welterweight Bout,L,0,81 of 141,81 of 141,0 of 0,0,0,0:00,65 of 124,15 of 16,1 of 1,78 of 137,3 of 4,0 of 0,KO/TKO,"Time:
        
        4:47","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 276: Adesanya vs. Cannonier,Robbie Lawler - Bryan Barberena,Bryan Barberena,Welterweight Bout,W,0,147 of 316,148 of 317,0 of 0,0,0,0:00,116 of 280,18 of 20,13 of 16,138 of 304,9 of 12,0 of 0,KO/TKO,"Time:
        
        4:47","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 276: Adesanya vs. Cannonier,Alexander Volkanovski - Max Holloway,Alexander Volkanovski,UFC Featherweight Title Bout,W,0,199 of 372,204 of 377,0 of 0,0,0,1:57,152 of 316,19 of 24,28 of 32,175 of 340,24 of 32,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Marc Goddard
UFC 276: Adesanya vs. Cannonier,Alexander Volkanovski - Max Holloway,Max Holloway,UFC Featherweight Title Bout,L,0,127 of 301,161 of 335,0 of 3,0,0,0:16,64 of 213,42 of 59,21 of 29,109 of 283,18 of 18,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Marc Goddard
UFC 276: Adesanya vs. Cannonier,Pedro Munhoz - Sean O'Malley,Pedro Munhoz,Bantamweight Bout,NC,0,26 of 41,26 of 41,0 of 0,0,0,0:00,0 of 9,0 of 2,26 of 30,26 of 41,0 of 0,0 of 0,Could Not Continue,"Time:
        
        3:09","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC 276: Adesanya vs. Cannonier,Pedro Munhoz - Sean O'Malley,Sean O'Malley,Bantamweight Bout,NC,0,25 of 47,25 of 47,0 of 0,0,0,0:00,14 of 30,8 of 14,3 of 3,25 of 47,0 of 0,0 of 0,Could Not Continue,"Time:
        
        3:09","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC 276: Adesanya vs. Cannonier,Brad Riddell - Jalin Turner,Brad Riddell,Lightweight Bout,L,0,2 of 3,2 of 3,0 of 1,0,0,0:00,0 of 1,0 of 0,2 of 2,2 of 3,0 of 0,0 of 0,Submission,"Time:
        
        0:45","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC 276: Adesanya vs. Cannonier,Brad Riddell - Jalin Turner,Jalin Turner,Lightweight Bout,W,0,3 of 5,3 of 5,0 of 0,1,0,0:13,1 of 2,1 of 2,1 of 1,3 of 5,0 of 0,0 of 0,Submission,"Time:
        
        0:45","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC 276: Adesanya vs. Cannonier,Jim Miller - Donald Cerrone,Jim Miller,Welterweight Bout,W,0,24 of 36,35 of 48,1 of 1,1,0,1:03,16 of 28,6 of 6,2 of 2,17 of 27,0 of 0,7 of 9,Submission,"Time:
        
        1:32","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 276: Adesanya vs. Cannonier,Jim Miller - Donald Cerrone,Donald Cerrone,Welterweight Bout,L,0,21 of 33,24 of 36,0 of 0,0,1,1:24,12 of 20,6 of 8,3 of 5,21 of 33,0 of 0,0 of 0,Submission,"Time:
        
        1:32","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 276: Adesanya vs. Cannonier,Brad Tavares - Dricus Du Plessis,Brad Tavares,Middleweight Bout,L,0,82 of 150,98 of 167,0 of 1,0,0,2:01,55 of 113,21 of 31,6 of 6,69 of 132,12 of 16,1 of 2,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 276: Adesanya vs. Cannonier,Brad Tavares - Dricus Du Plessis,Dricus Du Plessis,Middleweight Bout,W,0,113 of 212,123 of 222,0 of 7,0,0,1:18,79 of 169,17 of 21,17 of 22,97 of 192,14 of 18,2 of 2,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 276: Adesanya vs. Cannonier,Jessica Eye - Maycee Barber,Jessica Eye,Women's Flyweight Bout,L,0,35 of 62,76 of 106,1 of 4,0,0,8:09,23 of 48,9 of 10,3 of 4,17 of 41,16 of 19,2 of 2,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC 276: Adesanya vs. Cannonier,Jessica Eye - Maycee Barber,Maycee Barber,Women's Flyweight Bout,W,0,63 of 97,83 of 117,0 of 0,0,0,1:52,45 of 78,16 of 17,2 of 2,23 of 51,35 of 41,5 of 5,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC 276: Adesanya vs. Cannonier,Uriah Hall - Andre Muniz,Uriah Hall,Middleweight Bout,L,0,6 of 26,24 of 49,0 of 0,0,2,0:18,6 of 26,0 of 0,0 of 0,3 of 17,0 of 0,3 of 9,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC 276: Adesanya vs. Cannonier,Uriah Hall - Andre Muniz,Andre Muniz,Middleweight Bout,W,0,17 of 39,99 of 185,4 of 10,0,0,10:12,11 of 31,2 of 3,4 of 5,12 of 32,0 of 1,5 of 6,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC 276: Adesanya vs. Cannonier,Ian Machado Garry - Gabe Green,Ian Machado Garry,Welterweight Bout,W,1,116 of 193,129 of 206,1 of 2,0,0,0:46,87 of 160,17 of 21,12 of 12,111 of 188,2 of 2,3 of 3,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC 276: Adesanya vs. Cannonier,Ian Machado Garry - Gabe Green,Gabe Green,Welterweight Bout,L,0,90 of 195,102 of 208,1 of 4,0,0,2:17,31 of 112,24 of 36,35 of 47,90 of 194,0 of 1,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC 276: Adesanya vs. Cannonier,Israel Adesanya - Jared Cannonier,Israel Adesanya,UFC Middleweight Title Bout,W,0,116 of 230,163 of 277,0 of 0,0,0,0:00,60 of 165,26 of 31,30 of 34,114 of 226,2 of 4,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Herb Dean
UFC 276: Adesanya vs. Cannonier,Israel Adesanya - Jared Cannonier,Jared Cannonier,UFC Middleweight Title Bout,L,0,90 of 157,141 of 217,0 of 4,0,0,4:14,36 of 89,32 of 40,22 of 28,78 of 143,12 of 14,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Herb Dean
UFC 276: Adesanya vs. Cannonier,Sean Strickland - Alex Pereira,Sean Strickland,Middleweight Bout,L,0,15 of 29,15 of 29,0 of 0,0,0,0:00,9 of 20,6 of 8,0 of 1,15 of 29,0 of 0,0 of 0,KO/TKO,"Time:
        
        2:36","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC 276: Adesanya vs. Cannonier,Sean Strickland - Alex Pereira,Alex Pereira,Middleweight Bout,W,1,25 of 40,25 of 40,0 of 0,0,0,0:03,5 of 15,12 of 14,8 of 11,25 of 40,0 of 0,0 of 0,KO/TKO,"Time:
        
        2:36","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Tsarukyan vs. Gamrot,Raulian Paiva - Sergey Morozov,Raulian Paiva,Bantamweight Bout,L,0,63 of 142,63 of 142,1 of 4,0,0,0:13,51 of 120,10 of 20,2 of 2,62 of 140,1 of 1,0 of 1,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Tsarukyan vs. Gamrot,Raulian Paiva - Sergey Morozov,Sergey Morozov,Bantamweight Bout,W,0,68 of 127,82 of 143,2 of 13,0,0,4:35,56 of 113,8 of 9,4 of 5,66 of 122,1 of 3,1 of 2,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Tsarukyan vs. Gamrot,Shayilan Nuerdanbieke - TJ Brown,Shayilan Nuerdanbieke,Featherweight Bout,W,1,47 of 79,86 of 121,3 of 6,0,2,7:32,41 of 73,1 of 1,5 of 5,32 of 61,2 of 2,13 of 16,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Tsarukyan vs. Gamrot,Shayilan Nuerdanbieke - TJ Brown,TJ Brown,Featherweight Bout,L,0,42 of 99,58 of 125,1 of 2,4,2,2:54,30 of 86,9 of 10,3 of 3,36 of 92,3 of 3,3 of 4,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Tsarukyan vs. Gamrot,Neil Magny - Shavkat Rakhmonov,Neil Magny,Welterweight Bout,L,0,11 of 22,21 of 35,0 of 0,0,0,0:07,6 of 16,2 of 2,3 of 4,8 of 16,0 of 0,3 of 6,Submission,"Time:
        
        4:58","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Tsarukyan vs. Gamrot,Neil Magny - Shavkat Rakhmonov,Shavkat Rakhmonov,Welterweight Bout,W,0,19 of 36,56 of 79,2 of 2,1,0,9:06,17 of 34,2 of 2,0 of 0,5 of 10,0 of 0,14 of 26,Submission,"Time:
        
        4:58","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Tsarukyan vs. Gamrot,Nate Maness - Umar Nurmagomedov,Nate Maness,Bantamweight Bout,L,0,2 of 20,46 of 68,0 of 0,0,0,0:00,1 of 19,1 of 1,0 of 0,2 of 20,0 of 0,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Tsarukyan vs. Gamrot,Nate Maness - Umar Nurmagomedov,Umar Nurmagomedov,Bantamweight Bout,W,0,74 of 100,128 of 161,3 of 4,0,0,10:49,60 of 79,10 of 15,4 of 6,17 of 33,0 of 0,57 of 67,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Tsarukyan vs. Gamrot,Thiago Moises - Christos Giagos,Thiago Moises,Lightweight Bout,W,0,3 of 4,7 of 9,1 of 2,1,0,2:34,2 of 3,0 of 0,1 of 1,2 of 3,1 of 1,0 of 0,Submission,"Time:
        
        3:05","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Tsarukyan vs. Gamrot,Thiago Moises - Christos Giagos,Christos Giagos,Lightweight Bout,L,0,2 of 5,13 of 16,0 of 0,0,0,0:00,1 of 4,1 of 1,0 of 0,2 of 5,0 of 0,0 of 0,Submission,"Time:
        
        3:05","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Tsarukyan vs. Gamrot,Vanessa Demopoulos - Jinh Yu Frey,Vanessa Demopoulos,Women's Strawweight Bout,W,0,66 of 139,71 of 144,1 of 7,0,0,4:14,34 of 100,25 of 31,7 of 8,40 of 107,26 of 32,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Tsarukyan vs. Gamrot,Vanessa Demopoulos - Jinh Yu Frey,Jinh Yu Frey,Women's Strawweight Bout,L,0,62 of 133,81 of 153,0 of 1,0,0,0:11,49 of 116,8 of 11,5 of 6,58 of 128,4 of 5,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Tsarukyan vs. Gamrot,Brian Kelleher - Mario Bautista,Brian Kelleher,Bantamweight Bout,L,0,2 of 3,2 of 3,0 of 0,0,0,0:00,1 of 2,0 of 0,1 of 1,2 of 3,0 of 0,0 of 0,Submission,"Time:
        
        2:27","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Tsarukyan vs. Gamrot,Brian Kelleher - Mario Bautista,Mario Bautista,Bantamweight Bout,W,0,6 of 17,6 of 17,2 of 2,1,0,1:28,3 of 14,1 of 1,2 of 2,4 of 15,0 of 0,2 of 2,Submission,"Time:
        
        2:27","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Tsarukyan vs. Gamrot,JP Buys - Cody Durden,JP Buys,Flyweight Bout,L,0,7 of 11,7 of 11,0 of 2,0,0,0:00,4 of 7,1 of 1,2 of 3,5 of 9,2 of 2,0 of 0,KO/TKO,"Time:
        
        1:08","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Tsarukyan vs. Gamrot,JP Buys - Cody Durden,Cody Durden,Flyweight Bout,W,1,23 of 30,34 of 41,0 of 0,0,0,0:26,21 of 28,2 of 2,0 of 0,8 of 12,1 of 1,14 of 17,KO/TKO,"Time:
        
        1:08","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Tsarukyan vs. Gamrot,Arman Tsarukyan - Mateusz Gamrot,Arman Tsarukyan,Lightweight Bout,L,1,95 of 247,110 of 264,1 of 8,0,0,1:39,43 of 182,39 of 48,13 of 17,88 of 235,3 of 6,4 of 6,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Jason Herzog
UFC Fight Night: Tsarukyan vs. Gamrot,Arman Tsarukyan - Mateusz Gamrot,Mateusz Gamrot,Lightweight Bout,W,0,81 of 138,108 of 166,6 of 21,0,0,4:58,68 of 121,9 of 12,4 of 5,73 of 129,4 of 5,4 of 4,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Jason Herzog
UFC Fight Night: Tsarukyan vs. Gamrot,Carlos Ulberg - Tafon Nchukwi,Carlos Ulberg,Light Heavyweight Bout,W,1,15 of 19,15 of 19,0 of 0,0,0,0:04,9 of 13,3 of 3,3 of 3,12 of 15,0 of 0,3 of 4,KO/TKO,"Time:
        
        1:15","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Tsarukyan vs. Gamrot,Carlos Ulberg - Tafon Nchukwi,Tafon Nchukwi,Light Heavyweight Bout,L,0,3 of 4,3 of 4,0 of 0,0,0,0:00,0 of 0,0 of 0,3 of 4,3 of 4,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:15","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Tsarukyan vs. Gamrot,Chris Curtis - Rodolfo Vieira,Chris Curtis,Middleweight Bout,W,0,109 of 174,128 of 193,0 of 0,0,0,0:35,80 of 136,29 of 38,0 of 0,104 of 167,2 of 4,3 of 3,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Tsarukyan vs. Gamrot,Chris Curtis - Rodolfo Vieira,Rodolfo Vieira,Middleweight Bout,L,0,86 of 145,90 of 149,0 of 20,0,0,2:05,64 of 121,6 of 8,16 of 16,83 of 140,3 of 5,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Tsarukyan vs. Gamrot,Josh Parisian - Alan Baudot,Josh Parisian,Heavyweight Bout,W,0,42 of 68,102 of 156,3 of 4,0,0,3:09,27 of 53,11 of 11,4 of 4,22 of 39,2 of 4,18 of 25,KO/TKO,"Time:
        
        3:04","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Tsarukyan vs. Gamrot,Josh Parisian - Alan Baudot,Alan Baudot,Heavyweight Bout,L,1,49 of 75,56 of 82,0 of 0,0,0,1:43,34 of 59,8 of 9,7 of 7,23 of 47,11 of 11,15 of 17,KO/TKO,"Time:
        
        3:04","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Kattar vs. Emmett,Court McGee - Jeremiah Wells,Court McGee,Welterweight Bout,L,0,3 of 8,3 of 8,0 of 0,0,0,0:00,0 of 4,2 of 3,1 of 1,3 of 8,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:34","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Kattar vs. Emmett,Court McGee - Jeremiah Wells,Jeremiah Wells,Welterweight Bout,W,1,7 of 16,7 of 16,0 of 0,0,0,0:02,7 of 16,0 of 0,0 of 0,5 of 14,0 of 0,2 of 2,KO/TKO,"Time:
        
        1:34","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Kattar vs. Emmett,Roman Dolidze - Kyle Daukaus,Roman Dolidze,Middleweight Bout,W,2,8 of 15,10 of 17,0 of 0,0,0,0:36,8 of 14,0 of 1,0 of 0,0 of 4,3 of 3,5 of 8,KO/TKO,"Time:
        
        1:13","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Kattar vs. Emmett,Roman Dolidze - Kyle Daukaus,Kyle Daukaus,Middleweight Bout,L,0,4 of 9,5 of 10,0 of 0,0,0,0:00,1 of 6,1 of 1,2 of 2,4 of 9,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:13","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Kattar vs. Emmett,Jasmine Jasudavicius - Natalia Silva,Jasmine Jasudavicius,Women's Flyweight Bout,L,0,31 of 101,40 of 116,0 of 6,0,0,3:37,12 of 72,18 of 27,1 of 2,27 of 95,4 of 6,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jacob Montalvo
UFC Fight Night: Kattar vs. Emmett,Jasmine Jasudavicius - Natalia Silva,Natalia Silva,Women's Flyweight Bout,W,0,96 of 185,120 of 213,2 of 3,0,0,1:07,55 of 137,18 of 24,23 of 24,85 of 169,1 of 1,10 of 15,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jacob Montalvo
UFC Fight Night: Kattar vs. Emmett,Damir Ismagulov - Guram Kutateladze,Damir Ismagulov,Lightweight Bout,W,0,79 of 192,83 of 197,0 of 6,0,0,0:46,63 of 173,14 of 17,2 of 2,76 of 184,3 of 8,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Kattar vs. Emmett,Damir Ismagulov - Guram Kutateladze,Guram Kutateladze,Lightweight Bout,L,0,78 of 187,80 of 190,1 of 7,0,0,0:39,29 of 129,28 of 33,21 of 25,64 of 170,13 of 16,1 of 1,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Kattar vs. Emmett,Eddie Wineland - Cody Stamann,Eddie Wineland,Bantamweight Bout,L,0,3 of 7,3 of 7,0 of 0,0,0,0:00,1 of 5,2 of 2,0 of 0,3 of 6,0 of 1,0 of 0,KO/TKO,"Time:
        
        0:59","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Jacob Montalvo
UFC Fight Night: Kattar vs. Emmett,Eddie Wineland - Cody Stamann,Cody Stamann,Bantamweight Bout,W,1,27 of 38,32 of 43,0 of 0,0,0,0:07,23 of 34,3 of 3,1 of 1,9 of 16,12 of 16,6 of 6,KO/TKO,"Time:
        
        0:59","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Jacob Montalvo
UFC Fight Night: Kattar vs. Emmett,Maria Oliveira - Gloria de Paula,Maria Oliveira,Women's Strawweight Bout,W,0,96 of 297,99 of 303,2 of 4,0,0,1:35,66 of 247,12 of 23,18 of 27,94 of 294,2 of 3,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Kattar vs. Emmett,Maria Oliveira - Gloria de Paula,Gloria de Paula,Women's Strawweight Bout,L,0,105 of 190,116 of 205,2 of 3,0,0,0:49,75 of 155,11 of 15,19 of 20,98 of 182,7 of 7,0 of 1,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Kattar vs. Emmett,Adrian Yanez - Tony Kelley,Adrian Yanez,Bantamweight Bout,W,1,35 of 67,36 of 68,0 of 0,0,0,0:04,29 of 60,6 of 7,0 of 0,29 of 60,1 of 2,5 of 5,KO/TKO,"Time:
        
        3:49","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Kattar vs. Emmett,Adrian Yanez - Tony Kelley,Tony Kelley,Bantamweight Bout,L,0,20 of 49,21 of 50,0 of 0,0,0,0:02,12 of 29,6 of 16,2 of 4,20 of 48,0 of 1,0 of 0,KO/TKO,"Time:
        
        3:49","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Kattar vs. Emmett,Ricardo Ramos - Danny Chavez,Ricardo Ramos,Featherweight Bout,W,1,4 of 14,4 of 14,0 of 0,0,0,0:01,3 of 12,1 of 2,0 of 0,4 of 14,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:12","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Kattar vs. Emmett,Ricardo Ramos - Danny Chavez,Danny Chavez,Featherweight Bout,L,0,3 of 9,3 of 9,0 of 0,0,0,0:00,2 of 7,0 of 0,1 of 2,3 of 8,0 of 1,0 of 0,KO/TKO,"Time:
        
        1:12","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
