KD,Sub. Att,Reversal,Rounds,landed_sig. str.,atmp_sig. str.,landed_total str.,atmp_total str.,landed_td,atmp_td,landed_head,atmp_head,landed_body,atmp_body,landed_leg,atmp_leg,landed_distance,atmp_distance,landed_clinch,atmp_clinch,landed_ground,atmp_ground,Control Time Sec,Total_fight_length_sec,Sig_Str_Acc,Sig_Str_LpM,Total_Str_Acc,Total_Str_LpM,Head_Str_Acc,Head_Str_LpM,Body_Str_Acc,Body_Str_LpM,Leg_Str_Acc,Leg_Str_LpM,Distance_Str_Acc,Distance_Str_LpM,Clinch_Str_Acc,Clinch_Str_LpM,Ground_Str_Acc,Ground_Str_LpM,TD_Avg.,TD_Acc.,TD_Def.,Control_Ratio,height_cm,reach_cm,stance,age_at_fight_days,fighter
0.0,0.2,0.2,2.2,48.0,84.8,61.2,98.6,0.0,0.0,25.4,54.4,12.6,18.0,7.2,8.4,32.4,65.2,2.4,2.8,6.6,9.0,44.8,614.6,0.5218203956588716,4.3611064926865195,0.5846307920492307,5.42430495632958,0.41236373847847413,2.3536776105791155,0.79961211344792,1.161975048814994,0.7909090909090909,0.689898277736855,0.47279720279720283,2.9699558034304956,0.6,0.18440071556350626,0.5272727272727272,0.8317499736925182,0.0,0.0,0.4,0.07996184245910647,167.64000000000001,172.72,1.0,11779.4,CJ Vergara
3.0,0.0,0.0,1.0,23.0,55.0,23.0,55.0,0.0,0.0,18.0,46.0,4.0,8.0,1.0,1.0,20.0,50.0,0.0,0.0,3.0,5.0,5.0,170.0,0.41818181818181815,8.117647058823529,0.41818181818181815,8.117647058823529,0.391304347826087,6.242774566473988,0.5,1.4117647058823528,1.0,0.3529411764705882,0.4,6.666666666666667,0.0,0.0,0.6,1.0588235294117647,0.0,0.0,1.0,0.029411764705882353,162.56,165.1,1.0,10116.0,Ramazan Temirov
0.2,0.8,0.8,3.4,65.6,143.4,87.2,162.0,0.8,1.2,45.2,119.6,8.6,12.6,3.0,5.0,55.2,125.8,4.0,5.0,8.2,10.4,49.0,592.6,0.46255951621063185,5.503033668864977,0.5176089460051558,7.455033668864978,0.4401940846436405,4.519272474835127,0.5546296296296296,0.6191044776119403,0.5052631578947369,0.3646567164179104,0.3916775045062596,4.083248871919472,0.65,0.24155223880597015,0.4849385908209437,0.9538823529411765,0.032,0.3,-0.1,0.060255698252921444,175.26,172.72,2.0,11351.6,Brandon Royval
0.2,0.8,0.2,2.6,34.0,58.6,58.6,87.6,1.8,3.4,26.0,49.4,2.0,2.8,5.6,6.0,20.0,40.0,0.6,1.8,11.4,15.6,302.4,578.8,0.6187878787878789,3.202518070654149,0.6938111888111889,5.124568202534624,0.5719683824946984,2.501797408400873,0.6,0.1505738677016868,0.75,0.4451477354033736,0.4718737795829102,1.6287477628470897,0.08571428571428572,0.07515657620041753,0.6796078431372549,1.2507028657616894,0.17092489695412452,0.6133333333333333,0.86,0.5196805056096262,170.18,177.8,1.0,8883.0,Tatsuro Taira
0.2,0.0,0.0,3.0,67.6,129.6,74.4,137.4,0.0,0.2,41.4,96.6,9.4,14.0,12.2,14.6,62.6,123.0,4.0,5.0,1.0,1.6,34.4,851.0,0.5184160240110051,4.6911959287531815,0.5384846823657028,5.169465648854962,0.42028382819607835,2.8996437659033076,0.6688172043010752,0.646615776081425,0.9077394636015326,0.9716030534351144,0.5066930448447667,4.3528753180661575,0.75,0.2716539440203562,0.42000000000000004,0.06666666666666667,0.0,0.0,0.6,0.03822222222222223,185.42,187.96,1.0,12907.4,Brad Tavares
0.2,1.2,0.4,2.2,43.6,80.8,67.8,114.4,1.0,2.8,32.4,69.8,2.4,3.0,7.2,8.0,34.4,68.0,1.0,1.4,7.2,11.4,228.8,622.8,0.5467009299056579,4.376411813294931,0.6104924099546525,6.977460980577864,0.4961227388808223,3.4362648606804456,0.6933333333333334,0.2243642072213501,0.8995238095238095,0.7157827453931349,0.5091684158564591,3.405903879670113,0.32,0.08102564102564103,0.8332467532467532,0.8894822925991758,0.1252330353629055,0.2333333333333333,0.8,0.4271193597167623,177.8,185.42000000000002,1.0,11862.4,JunYong Park
0.0,0.5,0.0,3.0,76.0,133.5,114.0,177.5,1.5,2.0,39.0,87.5,23.0,33.0,10.0,12.0,48.5,96.5,11.5,17.0,10.0,14.5,233.5,900.0,0.5657433578292821,5.066666666666666,0.632648431423386,7.6,0.4463069669984285,2.5999999999999996,0.7763041556145005,1.7444444444444445,0.8142857142857143,0.6666666666666667,0.5009696186166774,3.2333333333333334,0.6602564102564102,1.0666666666666667,0.61,0.6666666666666666,0.1,0.5,1.0,0.2594444444444445,162.56,165.1,1.0,9658.5,Julia Polastri
0.0,0.4,0.0,2.4,27.8,79.6,70.2,140.0,2.0,4.2,22.4,72.0,2.6,4.2,2.8,3.4,23.2,73.4,2.6,3.6,2.0,2.6,267.6,632.2,0.38474620759566996,2.546214651149716,0.5424087340291558,6.401079440040479,0.31582121971595656,1.8194186765615339,0.48571428571428577,0.19305785123966945,0.8833333333333334,0.533738123348513,0.34881106876780993,2.11070782031821,0.625,0.2824489795918367,0.575,0.15305785123966942,0.2526640926640927,0.6023809523809524,1.0,0.5097875417710944,162.56,165.1,1.0,8937.2,Cory McKenna
0.0,0.0,0.0,2.6,72.8,154.0,85.0,165.6,0.2,0.4,40.6,113.2,17.0,23.2,13.4,14.8,66.0,146.4,1.8,1.8,0.0,0.4,26.4,738.0,0.4649262583191076,5.955412679550524,0.4711873622791537,6.149213417557905,0.3295609649007988,3.0669585339921195,0.7199064312893768,1.4281065454722346,0.9262121212121212,1.0781253778639481,0.4625413804597535,5.331250579941363,0.4,0.12428044280442804,0.0,0.0,0.013333333333333332,0.2,-0.8,0.03114063140631406,185.42,187.96,2.0,13344.0,Daniel Rodriguez
0.0,0.4,0.0,2.8,56.2,161.0,68.0,176.4,0.4,0.8,41.8,137.2,9.0,15.4,4.0,5.2,53.0,152.8,1.4,4.0,0.6,0.6,13.8,805.8,0.33139354837382673,4.22974358974359,0.37041822109643385,5.148158508158508,0.2903626162729949,3.304522144522145,0.6100280112044818,0.6585547785547785,0.5586363636363637,0.26666666666666666,0.3294365662674904,4.067132867132868,0.27499999999999997,0.12261072261072262,0.2,0.04,0.026666666666666665,0.3,-0.6,0.015333333333333332,180.34,182.88,1.0,12233.8,Alex Morono
0.2,0.0,0.0,1.8,23.4,47.4,29.2,53.6,0.0,0.0,19.6,43.0,3.6,4.2,0.2,0.2,20.2,42.6,3.0,4.6,0.2,0.2,1.2,417.8,0.5126270520993882,3.9012590799659703,0.6001857517482517,4.974242545277027,0.4720440670440671,3.1355428075384095,0.8484848484848484,0.5580119805271935,0.2,0.03208556149732621,0.4697653388278388,2.634564691759262,0.4583333333333333,0.5605405405405406,0.2,0.03208556149732621,0.0,0.0,0.4,0.01044334975369458,190.5,190.5,1.0,9998.8,Junior Tafa
0.0,0.0,0.0,2.0,53.0,118.0,54.0,122.0,1.0,8.0,39.0,101.0,7.0,10.0,7.0,7.0,44.0,93.0,1.0,3.0,8.0,22.0,46.0,435.0,0.4491525423728814,7.310344827586207,0.4426229508196721,7.448275862068965,0.38613861386138615,5.379310344827586,0.7,0.9655172413793104,1.0,0.9655172413793104,0.4731182795698925,6.068965517241379,0.3333333333333333,0.13793103448275862,0.36363636363636365,1.103448275862069,0.13793103448275862,0.125,1.0,0.10574712643678161,190.5,195.58,1.0,11416.0,Sean Sharaf
0.4,0.4,0.8,2.4,32.4,52.6,77.6,111.8,3.0,5.2,17.2,34.6,10.4,13.8,4.0,4.2,13.8,27.0,7.6,11.2,8.0,12.4,339.6,633.0,0.6249437570303712,4.010784926113539,0.6769158541502017,7.680067170445004,0.5213352770493832,2.50506399240409,0.8571428571428571,1.1590134340890008,0.75,0.6452267002518892,0.5282875816993464,2.089466834592779,0.8265182186234817,1.0035600335852224,0.49735027223230494,1.1458823529411766,0.2597841598345377,0.5972222222222222,0.95,0.47676772798915845,185.42,195.58,1.0,12013.6,Themba Gorimbo
0.0,0.2,0.2,2.6,58.4,126.2,90.4,158.4,1.2,2.6,37.4,99.2,10.0,14.6,10.2,13.4,44.6,109.0,6.2,9.6,9.2,10.4,131.2,714.8,0.4133624405591327,4.775962735623176,0.5114369595701266,6.918162901049149,0.313340980020567,2.7026302729528533,0.5981818181818181,0.9940028731879327,0.6418181818181818,1.0757894736842106,0.3423890908834679,3.412629837621348,0.8280701754385966,0.7375595315833007,0.5445134575569359,0.6257733664185277,0.07999999999999999,0.26666666666666666,0.4666666666666666,0.14808436724565757,182.88,193.04,1.0,12321.0,Niko Price
0.2,0.4,0.0,1.8,27.8,62.8,38.8,77.8,1.6,3.8,11.2,36.0,10.2,14.0,6.2,8.8,24.2,57.6,1.2,2.2,2.4,3.0,199.6,468.4,0.4369608885737918,3.1327419976065918,0.4737006449366973,4.401317808387404,0.275718801746199,1.2818405430296775,0.6306926406926406,1.1459425470512437,0.86625,0.7610336738808113,0.4275025548014054,2.8230231221045843,0.3333333333333333,0.14971887550200802,0.34545454545454546,0.16,0.18849427862202578,0.5242424242424243,1.0,0.40301331288302294,180.34,190.5,1.0,13695.6,Court McGee
0.4,0.0,0.2,2.0,40.6,75.0,68.8,105.2,1.0,2.4,20.6,47.6,14.0,21.8,4.8,5.6,26.6,58.2,7.8,10.6,4.2,4.8,76.4,466.4,0.4784237169773813,4.5471070028227905,0.5966492357613795,7.201480796221944,0.31346516886565434,2.074512051775111,0.7127093596059113,1.6939363484087102,0.9466666666666667,0.5567124867393654,0.4300130218108123,3.0946735448079377,0.6141636141636141,0.9457667913481866,0.37142857142857144,0.36,0.09594405594405594,0.32,0.8,0.21237545400336097,187.96,190.5,1.0,13789.6,Tim Means
0.0,0.2,0.0,2.8,47.4,107.2,81.6,146.6,0.4,0.4,35.0,83.4,8.8,14.0,3.0,5.8,29.0,81.2,6.2,8.4,5.6,6.6,30.8,763.2,0.4553799291690034,4.14013900472616,0.5796386087437057,6.798335120536956,0.4148399128418669,2.9975376305651533,0.595406162464986,0.752823649337411,0.4611111111111111,0.26279359783946943,0.35985968065251955,2.175296874379443,0.6318721461187214,0.5333333333333334,0.7484848484848485,0.44155208705667415,0.039307359307359305,0.4,0.8,0.06138946476561156,167.64000000000001,165.1,1.0,13319.8,Marina Rodriguez
0.0,0.2,0.2,2.8,48.4,106.4,60.0,120.0,2.2,3.8,30.4,83.0,14.0,18.2,4.0,5.2,41.6,97.6,3.6,5.0,3.2,3.8,181.8,824.4,0.4503426229548193,3.3232183908045982,0.5269358899496348,4.299310344827586,0.357137197104939,2.0749425287356322,0.7643282804152369,0.9719540229885058,0.7386363636363636,0.27632183908045976,0.4339015110537779,2.860229885057471,0.611111111111111,0.24,0.4666666666666667,0.22298850574712645,0.16597701149425287,0.5766666666666665,0.85,0.23305747126436782,162.56,167.64000000000001,1.0,8797.6,Iasmin Lucindo
0.2,0.6,0.4,3.6,84.2,173.0,110.8,203.0,0.2,1.2,48.6,126.6,24.4,32.6,8.4,8.8,64.8,139.4,13.8,18.8,5.2,8.2,169.0,817.4,0.5241114173800068,5.5168295687885,0.5861334695600855,7.719080082135524,0.40186952037132545,2.9794277891854897,0.8704763863587391,1.7324444444444445,0.956043956043956,0.5032553045859001,0.45765554600098995,4.0456783025325125,0.8334913124832932,1.135151266255989,0.175,0.33599999999999997,0.008,0.06666666666666667,0.6,0.16447008898015056,170.18,170.18,1.0,12614.8,Raquel Pennington
0.0,0.8,0.0,3.6,59.2,135.4,108.2,189.6,1.4,2.2,46.8,118.0,8.6,11.0,0.4,0.6,52.0,124.0,3.2,4.0,3.0,4.6,179.0,786.0,0.425069005069005,3.8685943621595795,0.549739053673961,7.074265676352633,0.3854219752561331,3.0153891225637897,0.7774825174825175,0.6226741374567462,0.3,0.02290683229813665,0.3830515444084909,3.086696607740086,0.7666666666666666,0.22404922613618267,0.2777777777777778,0.22156394330307375,0.09908792656618744,0.6333333333333333,0.8,0.18614855675725242,167.64000000000001,175.26,1.0,11902.8,Julianna Pena
